Pays,TauxWB,AnneeWB,TauxITU,AnneeITU,UtilisateursCIA,AnneeCIA,Notes,TauxInternet
World,67.4,2023.0,67.4,2023.0,,,,67.4
Afghanistan,18.4,2020.0,17.6,2019.0,7020000.0,2020.0,,17.6
Albania,83.1,2023.0,83.1,2023.0,2291000.0,2021.0,,83.1
Algeria,71.2,2022.0,71.2,2022.0,31240000.0,2021.0,,71.2
Andorra,94.5,2022.0,94.5,2022.0,74260.0,2021.0,,94.5
Angola,39.3,2022.0,39.3,2022.0,11550000.0,2021.0,,39.3
Anguilla,,,81.6,2016.0,13056.0,2021.0,,81.6
Antigua and Barbuda,91.4,2022.0,91.4,2022.0,89280.0,2021.0,,91.4
Argentina,89.2,2023.0,89.2,2023.0,39150000.0,2021.0,,89.2
Armenia,78.6,2021.0,77.0,2022.0,2212000.0,2021.0,,77.0
Aruba,97.2,2017.0,97.2,2017.0,106800.0,2021.0,,97.2
Australia,95.0,2021.0,94.9,2022.0,24960000.0,2021.0,,94.9
Austria,95.3,2023.0,95.3,2023.0,8277000.0,2021.0,,95.3
Azerbaijan,88.0,2022.0,88.0,2022.0,8600000.0,2021.0,,88.0
Bahamas,94.4,2022.0,94.4,2022.0,385400.0,2021.0,,94.4
Bahrain,100.0,2021.0,100.0,2023.0,1500000.0,2021.0,,100.0
Bangladesh,44.5,2023.0,44.5,2023.0,66300000.0,2021.0,,44.5
Barbados,76.2,2022.0,76.2,2022.0,240800.0,2021.0,,76.2
Belarus,91.5,2023.0,91.5,2023.0,8352000.0,2021.0,,91.5
Belgium,94.6,2023.0,94.6,2023.0,10920000.0,2021.0,,94.6
Belize,70.4,2022.0,70.4,2022.0,248000.0,2021.0,,70.4
Benin,33.8,2022.0,33.8,2022.0,4420000.0,2021.0,,33.8
Bermuda,98.4,2017.0,98.4,2017.0,64000.0,2021.0,,98.4
Bhutan,86.8,2022.0,86.8,2022.0,670800.0,2021.0,,86.8
Bolivia,73.3,2022.0,73.3,2022.0,7920000.0,2021.0,,73.3
Bosnia and Herzegovina,83.4,2023.0,83.4,2023.0,2508000.0,2021.0,,83.4
Botswana,77.3,2022.0,77.3,2022.0,1924000.0,2021.0,,77.3
Brazil,84.2,2023.0,84.2,2023.0,170100000.0,2021.0,,84.2
British Virgin Islands,77.7,2016.0,77.7,2017.0,24087.0,2021.0,,77.7
Brunei,99.0,2022.0,99.0,2022.0,441000.0,2021.0,,99.0
Bulgaria,80.4,2023.0,80.4,2023.0,5175000.0,2021.0,,80.4
Burkina Faso,19.9,2022.0,19.9,2022.0,4840000.0,2021.0,,19.9
Burundi,11.3,2022.0,11.3,2022.0,754000.0,2021.0,,11.3
Cambodia,56.7,2022.0,56.7,2022.0,10200000.0,2021.0,,56.7
Cameroon,43.9,2022.0,43.9,2022.0,12420000.0,2021.0,,43.9
Canada,94.6,2018.0,94.0,2022.0,35340000.0,2021.0,,94.0
Cape Verde,72.1,2022.0,72.1,2022.0,413000.0,2021.0,,72.1
Cayman Islands,81.1,2017.0,81.1,2017.0,55148.0,2021.0,,81.1
Central African Republic,10.6,2021.0,7.5,2019.0,605000.0,2021.0,,7.5
Chad,12.2,2022.0,12.2,2022.0,3060000.0,2021.0,,12.2
Chile,94.1,2023.0,94.1,2023.0,17100000.0,2021.0,,94.1
China,77.5,2023.0,77.5,2023.0,1022000000.0,2021.0,,77.5
Colombia,73.0,2021.0,72.8,2022.0,37960000.0,2021.0,,72.8
Comoros,27.3,2021.0,16.4,2019.0,221400.0,2021.0,,16.4
Cook Islands,,,54.0,2016.0,11382.0,2021.0,,54.0
Costa Rica,85.1,2023.0,85.1,2023.0,4316000.0,2021.0,,85.1
Croatia,83.2,2023.0,83.2,2023.0,3321000.0,2021.0,,83.2
Cuba,73.2,2022.0,73.2,2022.0,7810000.0,2021.0,,73.2
Curacao,68.1,2017.0,68.1,2017.0,111956.0,2021.0,,68.1
Cyprus,91.2,2023.0,91.2,2023.0,809900.0,2021.0,,91.2
Czech Republic,86.0,2023.0,86.0,2023.0,9130000.0,2021.0,,86.0
Democratic Republic of the Congo,27.2,2022.0,27.2,2022.0,21102720.0,2021.0,,27.2
Denmark,98.9,2021.0,98.8,2023.0,5841000.0,2021.0,,98.8
Djibouti,65.0,2022.0,65.0,2022.0,759000.0,2021.0,,65.0
Dominica,83.4,2022.0,83.4,2022.0,58320.0,2021.0,,83.4
Dominican Republic,85.2,2021.0,84.4,2022.0,9350000.0,2021.0,,84.4
East Timor,40.8,2022.0,40.8,2022.0,507000.0,2021.0,,40.8
Ecuador,72.7,2023.0,72.7,2023.0,13680000.0,2021.0,,72.7
Egypt,72.2,2022.0,72.2,2022.0,79200000.0,2021.0,,72.2
El Salvador,62.9,2022.0,62.9,2022.0,3969000.0,2021.0,,62.9
Equatorial Guinea,66.8,2022.0,66.8,2022.0,864000.0,2021.0,,66.8
Eritrea,26.6,2022.0,26.6,2022.0,792000.0,2021.0,,26.6
Estonia,93.2,2023.0,93.2,2023.0,1183000.0,2021.0,,93.2
Eswatini,58.3,2022.0,58.3,2022.0,708000.0,2021.0,,58.3
Ethiopia,19.4,2022.0,19.4,2022.0,20400000.0,2021.0,,19.4
Falkland Islands,,,99.0,2016.0,3762.0,2021.0,,99.0
Faroe Islands,97.6,2017.0,97.6,2017.0,51728.0,2021.0,,97.6
Fiji,85.2,2022.0,85.2,2022.0,809600.0,2021.0,,85.2
Finland,93.5,2023.0,93.5,2023.0,5115000.0,2021.0,,93.5
France,86.8,2023.0,86.8,2023.0,55900000.0,2021.0,,86.8
French Guiana,,,25.7,2009.0,,,,25.7
French Polynesia,72.7,2017.0,72.7,2017.0,218100.0,2021.0,,72.7
Gabon,73.7,2022.0,73.7,2022.0,1656000.0,2021.0,,73.7
Gambia,54.2,2022.0,54.2,2022.0,858000.0,2021.0,,54.2
Georgia,81.9,2023.0,81.9,2023.0,2888000.0,2021.0,,81.9
Germany,92.5,2023.0,92.5,2023.0,75530000.0,2021.0,,92.5
Ghana,69.8,2022.0,69.8,2022.0,22440000.0,2021.0,,69.8
Gibraltar,94.4,2016.0,94.4,2016.0,31152.0,2021.0,,94.4
Greece,85.0,2023.0,85.0,2023.0,7800000.0,2021.0,,85.0
Greenland,69.5,2017.0,69.5,2017.0,38920.0,2021.0,,69.5
Grenada,79.9,2022.0,79.9,2022.0,93600.0,2021.0,,79.9
Guadeloupe,,,23.4,2009.0,,,,23.4
Guam,80.5,2017.0,80.5,2017.0,136850.0,2021.0,,80.5
Guatemala,54.4,2022.0,54.4,2022.0,9180000.0,2021.0,,54.4
Guernsey,,,83.6,2011.0,55069.0,2021.0,,83.6
Guinea,33.9,2022.0,33.9,2022.0,4900000.0,2021.0,,33.9
Guinea-Bissau,31.6,2022.0,31.6,2022.0,735000.0,2021.0,,31.6
Guyana,85.3,2022.0,85.3,2022.0,680000.0,2021.0,,85.3
Haiti,39.3,2019.0,39.3,2019.0,4290000.0,2021.0,,39.3
Honduras,59.7,2022.0,59.7,2022.0,4800000.0,2021.0,,59.7
Hong Kong,95.6,2022.0,95.6,2022.0,6975000.0,2021.0,,95.6
Hungary,91.5,2023.0,91.5,2023.0,8633000.0,2021.0,,91.5
Iceland,99.9,2022.0,99.9,2022.0,370000.0,2021.0,,99.9
India,43.4,2020.0,43.4,2020.0,644000000.0,2021.0,,43.4
Indonesia,69.2,2023.0,69.2,2023.0,167400000.0,2021.0,,69.2
Iran,81.7,2022.0,81.7,2022.0,69520000.0,2021.0,,81.7
Iraq,78.7,2022.0,78.7,2022.0,21560000.0,2021.0,,78.7
Ireland,95.6,2022.0,95.6,2022.0,4750000.0,2021.0,,95.6
Israel,91.9,2022.0,91.9,2022.0,8010000.0,2021.0,,91.9
Italy,87.0,2023.0,87.0,2023.0,44250000.0,2021.0,,87.0
Ivory Coast,43.8,2017.0,38.4,2022.0,12150000.0,2021.0,,38.4
Jamaica,85.1,2022.0,85.1,2022.0,2296000.0,2021.0,,85.1
Japan,93.2,2016.0,84.9,2022.0,99600000.0,2021.0,,84.9
Jersey,,,41.0,2012.0,96038.0,2021.0,,41.0
Jordan,90.5,2022.0,90.5,2022.0,9130000.0,2021.0,,90.5
Kazakhstan,92.9,2023.0,92.9,2023.0,17290000.0,2021.0,,92.9
Kenya,40.8,2022.0,40.8,2022.0,15370000.0,2021.0,,40.8
Kiribati,54.4,2022.0,54.4,2022.0,70200.0,2021.0,,54.4
Kosovo,89.4,2018.0,89.4,2018.0,1756300.0,2021.0,,89.4
Kuwait,99.8,2022.0,99.7,2023.0,4300000.0,2021.0,,99.7
Kyrgyzstan,79.8,2022.0,79.8,2022.0,5070000.0,2021.0,,79.8
Laos,66.2,2022.0,66.2,2022.0,4588000.0,2021.0,,66.2
Latvia,92.2,2023.0,92.2,2023.0,1729000.0,2021.0,,92.2
Lebanon,90.1,2022.0,90.1,2022.0,4872000.0,2021.0,,90.1
Lesotho,47.0,2022.0,47.0,2022.0,1104000.0,2021.0,,47.0
Liberia,30.1,2022.0,30.1,2022.0,1768000.0,2021.0,,30.1
Libya,88.4,2022.0,88.4,2022.0,3095400.0,2021.0,,88.4
Liechtenstein,99.6,2017.0,96.8,2022.0,37440.0,2021.0,,96.8
Lithuania,88.5,2023.0,88.5,2023.0,2436000.0,2021.0,,88.5
Luxembourg,99.4,2023.0,99.3,2023.0,633600.0,2021.0,,99.3
Macao,89.8,2022.0,89.8,2022.0,607200.0,2021.0,,89.8
